source_brand,target_brand,brand_class,pair_rows,mean_ratio,mean_tfidf_cosine_char,mean_score,source_brand_corpus_rows,target_brand_corpus_rows
Organic Health,NatureWorks,distinct_brand_true_hard_negative,1,24.0,0.009995117065884757,0.5756370425224304,62,1
Organic Health,Taksi,distinct_brand_true_hard_negative,1,21.052631578947366,0.0,0.6196995973587036,62,21
No 1 Living,Kist,distinct_brand_true_hard_negative,1,13.33333333333333,0.0,0.5943636894226074,25,3
Niehoffs Vaihinger,Garant,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6630674600601196,51,63
Niehoffs Vaihinger,Cherry Good,distinct_brand_true_hard_negative,1,20.68965517241379,0.005932677838167878,0.6595726013183594,51,2
Nestlé,Recover 180,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.5790824294090271,19,6
Nesfruta,ebe,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.6403518319129944,33,27
Nesfruta,Sanavi,distinct_brand_true_hard_negative,1,28.57142857142857,0.0,0.6528239250183105,33,9
Naya,Hella,distinct_brand_true_hard_negative,1,22.22222222222222,0.016161170405724682,0.6905859112739563,45,32
Naya,Eska,distinct_brand_true_hard_negative,1,25.0,0.01928975736315822,0.6679039001464844,45,18
Nature Blessed,Zing Zang,distinct_brand_true_hard_negative,1,17.391304347826086,0.0,0.6526403427124023,15,8
Nature Blessed,L&A,distinct_brand_true_hard_negative,1,11.764705882352944,0.0,0.7402104139328003,15,11
Natural Brew,Starbucks Frappuccino Vanilla,distinct_brand_true_hard_negative,1,24.390243902439025,0.006244485187071233,0.6339600682258606,21,10
Natur pur,Monoprix,distinct_brand_true_hard_negative,1,35.29411764705882,0.0,0.6989985704421997,2,15
Naren,Arifoglu,distinct_brand_true_hard_negative,1,30.76923076923077,0.012113579260967228,0.7448841333389282,57,4
NONAGE,Achillea,distinct_brand_true_hard_negative,1,28.57142857142857,0.0,0.6043609380722046,2,7
Mug,SoBe,distinct_brand_true_hard_negative,1,0.0,0.0,0.6558126211166382,57,14
Mr. Fitzpatrick's,Chaudfontaine,distinct_brand_true_hard_negative,1,27.586206896551722,0.0,0.6445531845092773,34,20
Moulin de Valdonne,Davincii,distinct_brand_true_hard_negative,1,23.076923076923073,0.017333113497466947,0.6326526403427124,172,12
Montellier,Deit,distinct_brand_true_hard_negative,1,28.57142857142857,0.0,0.61932373046875,83,14
Mont Roucous,Mont,containment_or_truncation,1,50.0,0.4993138145216963,0.6797471046447754,63,8
Monoprix,Sirop Sport,distinct_brand_true_hard_negative,1,31.57894736842105,0.024374968932310215,0.7247811555862427,144,10
Niehoffs Vaihinger,Wesergold,distinct_brand_true_hard_negative,1,29.629629629629626,0.006203052345053962,0.605932354927063,51,6
North Coast,Plezi,distinct_brand_true_hard_negative,1,0.0,0.0,0.7151222229003906,48,6
Organic Health,QNT,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.585379958152771,62,11
North Water,Imsdal,distinct_brand_true_hard_negative,1,11.764705882352944,0.0,0.5543555021286011,7,13
Organic Health,Obsthof Retter,distinct_brand_true_hard_negative,1,28.57142857142857,0.02234934986336031,0.5928882360458374,62,16
QNT,Rheinfels Quelle,distinct_brand_true_hard_negative,1,10.526315789473683,0.03552215532796482,0.6817042231559753,62,21
Organic Health,Cevita,distinct_brand_true_hard_negative,1,30.000000000000004,0.0,0.5868442058563232,62,36
Organic Health,BioToday,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.6100168824195862,62,11
Orange Crush,SoBe,distinct_brand_true_hard_negative,1,25.0,0.00936282597043902,0.7082573175430298,43,14
Olympos,Prosain,distinct_brand_true_hard_negative,1,42.85714285714286,0.02379280620049714,0.6741109490394592,114,8
Olympos,Aroniasaft,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.7358275651931763,114,4
Ogeu,El Corte Inglés,distinct_brand_true_hard_negative,1,31.57894736842105,0.0,0.6095176935195923,32,72
Odwalla,Protein Water,distinct_brand_true_hard_negative,1,30.000000000000004,0.02041007107441098,0.6611813306808472,57,3
Odwalla,Deep RiverRock,distinct_brand_true_hard_negative,1,9.523809523809524,0.0,0.5756303071975708,57,12
Oca,A SHOC,distinct_brand_true_hard_negative,1,44.44444444444444,0.0742556338073022,0.7455943822860718,23,7
Obsthof Retter,Smart Juice,distinct_brand_true_hard_negative,1,31.999999999999996,0.0,0.7007869482040405,36,14
Obsesso,Peet's Coffee,distinct_brand_true_hard_negative,1,30.000000000000004,0.0,0.6182699203491211,146,12
Obsesso,Njie,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.7098200917243958,146,22
Obsesso,Coldpress,distinct_brand_true_hard_negative,1,50.0,0.05743131934260487,0.6636512279510498,146,16
Obrilo,ESN,distinct_brand_true_hard_negative,1,0.0,0.0,0.6272433400154114,17,16
O Organics,amazon,distinct_brand_true_hard_negative,1,25.0,0.0,0.7287690043449402,109,3
Nygårda,Apotekarnes,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.702692985534668,137,26
Nutramino,Clean Drink,distinct_brand_true_hard_negative,1,40.0,0.010426806683511492,0.7312920093536377,57,29
PureThé,Fresh Tea,distinct_brand_true_hard_negative,1,50.0,0.015447742978973278,0.7494626045227051,23,12
Qwell,Ramlösa,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6156609654426575,8,69
Quellbrunn,Chaudfontaine,distinct_brand_true_hard_negative,1,26.086956521739136,0.0,0.5572917461395264,25,20
Tradition,Bebivita,distinct_brand_true_hard_negative,1,23.529411764705888,0.013168683456560519,0.7025524973869324,106,18
Ting,Dg,brand_present_only_in_title,1,33.333333333333336,0.060945771251272415,0.7112357020378113,28,3
Thonon,Mondariz,distinct_brand_true_hard_negative,1,28.57142857142857,0.02848634789402958,0.697468638420105,24,8
Thirsty Planet,Trocadero,distinct_brand_true_hard_negative,1,34.78260869565217,0.008749654300066073,0.6884309649467468,138,32
Thirsty Planet,Hampstead Tea,distinct_brand_true_hard_negative,1,37.03703703703704,0.01653562672536539,0.5792698264122009,138,4
The Gutsy Captain,4Bro,distinct_brand_true_hard_negative,1,0.0,0.0,0.7467118501663208,38,12
Teavana,Kiju Organic,distinct_brand_true_hard_negative,1,21.052631578947366,0.01156375636508619,0.601696252822876,83,4
Tea Zone,Buddha Bubbles Boba,distinct_brand_true_hard_negative,1,22.22222222222222,0.012545722580327998,0.6461811065673828,30,22
Tas,Chaudfontaine,distinct_brand_true_hard_negative,1,25.0,0.02043859501786175,0.7218508720397949,73,20
Tang,L&A,distinct_brand_true_hard_negative,1,28.57142857142857,0.0,0.5876448154449463,191,11
Sweetbird,George's,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.629118800163269,50,7
Super Drink,NOS,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.674734354019165,116,29
Sunmagic,Mr. Fitzpatrick's,distinct_brand_true_hard_negative,1,33.333333333333336,0.009020611100236333,0.7297930717468262,26,2
Sunita,Paradise,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.681390106678009,147,1
Sunita,Hysope,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.7234011888504028,147,11
Sun-Rype,Real Ketones,distinct_brand_true_hard_negative,1,19.999999999999996,0.0,0.6205024719238281,149,6
Sun-Rype,Lerum,distinct_brand_true_hard_negative,1,15.384615384615385,0.0,0.6890594959259033,149,21
Sun Quench,DubbelFrisss,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.6215397119522095,30,52
Strike Force,Sunberry,distinct_brand_true_hard_negative,1,30.000000000000004,0.008422685508089741,0.6630978584289551,49,7
Stift,Vers Sap,distinct_brand_true_hard_negative,1,15.384615384615385,0.0145499492050203,0.6853787302970886,26,16
Torku,Vitaorganic,distinct_brand_true_hard_negative,1,37.5,0.014456388734409154,0.5993080139160156,37,6
Tradition,Get More,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.7466426491737366,106,25
Stift,Jeden Tag,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.6413813233375549,26,7
True North,Yerbae,distinct_brand_true_hard_negative,1,25.0,0.008220821061866312,0.737774133682251,50,21
Zingo,Kas,distinct_brand_true_hard_negative,1,0.0,0.0,0.7426686882972717,81,17
Zafer,Çamlica,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6964164972305298,31,20
Yedigun,Rieme,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6886814832687378,86,7
Yedigun,Flawsome!,distinct_brand_true_hard_negative,1,13.33333333333333,0.0,0.5842125415802002,86,6
William Fox,Frucci,distinct_brand_true_hard_negative,1,11.764705882352944,0.012209203862006504,0.6463991403579712,69,31
Whole Foods Market,Lete,distinct_brand_true_hard_negative,1,27.27272727272727,0.03969212842668812,0.6629717946052551,95,4
Wellsley Farms,Zephyrhills,distinct_brand_true_hard_negative,1,31.999999999999996,0.05050772592998069,0.6970130205154419,34,2
Well,Jif,distinct_brand_true_hard_negative,1,0.0,0.0,0.6041831970214844,35,3
Wandering Bear,Barissimo,distinct_brand_true_hard_negative,1,26.086956521739136,0.022889057943598974,0.6693623065948486,147,2
Vitalhaus,Aroniasaft,distinct_brand_true_hard_negative,1,31.57894736842105,0.0,0.7225972414016724,134,4
Vida,Ramlösa,distinct_brand_true_hard_negative,1,18.181818181818176,0.014225716879953026,0.6496313810348511,9,69
Vibe,Ekotrebol,distinct_brand_true_hard_negative,1,15.384615384615385,0.0,0.7135632038116455,6,8
Venom,NOS,distinct_brand_true_hard_negative,1,50.0,0.04571662671472414,0.6961359977722168,58,29
Venom,Full Throttle,distinct_brand_true_hard_negative,1,11.111111111111116,0.0,0.7315959930419922,58,10
Valensina,Caresse Antillaise,distinct_brand_true_hard_negative,1,37.03703703703704,0.0,0.6716177463531494,97,20
Uptime,Bloom,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.7271696329116821,88,8
United Sodas of America,Bawls,distinct_brand_true_hard_negative,1,14.28571428571429,0.006169713011572127,0.6224288940429688,18,22
Turkey Hill,Splenda,distinct_brand_true_hard_negative,1,11.111111111111116,0.0,0.5887358784675598,125,15
Turkey Hill,Fit,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.6660387516021729,125,3
Stift,Rheinfels Quelle,distinct_brand_true_hard_negative,1,19.047619047619047,0.0,0.6336171627044678,26,21
Stift,Fun,distinct_brand_true_hard_negative,1,25.0,0.0,0.6430673003196716,26,46
Quellbrunn,Rheinfels Quelle,distinct_brand_true_hard_negative,1,38.46153846153846,0.24691822667486504,0.7491661310195923,25,21
Sade Organik,Moloko,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.6967552900314331,73,2
SEK,Fiuggi,distinct_brand_true_hard_negative,1,0.0,0.0,0.7361383438110352,30,8
S Pellegrino,Nutramino,distinct_brand_true_hard_negative,1,38.095238095238095,0.11200795248193862,0.6742042899131775,78,10
S Pellegrino,Hartridges,distinct_brand_true_hard_negative,1,18.181818181818176,0.013959506570292504,0.6397516131401062,78,9
Römerquelle,Frusano,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.6530364155769348,74,5
Réal,Realemon,containment_or_truncation,1,66.66666666666667,0.03021976747073251,0.663095235824585,102,4
Rotbäckchen,Produits U,distinct_brand_true_hard_negative,1,28.57142857142857,0.009676212840575809,0.6596027612686157,36,3
River,S-BUDGET,distinct_brand_true_hard_negative,1,15.384615384615385,0.0,0.7264772653579712,68,5
River,Kiviks Musteri,distinct_brand_true_hard_negative,1,42.10526315789473,0.05105787921847578,0.6947551965713501,68,59
River,Kist,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.6603811979293823,68,3
Rip It,NOS,distinct_brand_true_hard_negative,1,0.0,0.0,0.6712314486503601,25,29
Repp,3D,distinct_brand_true_hard_negative,1,0.0,0.0,0.745405375957489,16,17
Relentless,Cult,distinct_brand_true_hard_negative,1,28.57142857142857,0.0,0.7339389324188232,118,22
Raptor,NOS,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.7074326276779175,11,29
Radnor,Rainbow,distinct_brand_true_hard_negative,1,61.53846153846154,0.05702225133649898,0.6373292207717896,100,81
RC Cola,Peapod,distinct_brand_true_hard_negative,1,15.384615384615385,0.0,0.7375117540359497,73,96
RC Cola,Live,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.7471294403076172,73,21
R Whites,Tuborg,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.6877719163894653,65,19
Mockingbird,Proviva,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.6511409282684326,57,41
Quézac,Olvi,distinct_brand_true_hard_negative,1,0.0,0.0,0.6538415551185608,44,52
Sade Organik,Lichtenauer,distinct_brand_true_hard_negative,1,26.086956521739136,0.0,0.5862365961074829,73,13
Sade Organik,Prosain,distinct_brand_true_hard_negative,1,31.57894736842105,0.02315037007663439,0.7227866649627686,73,8
Stewart's,River,brand_present_only_in_title,1,28.57142857142857,0.0,0.7230693101882935,153,2
Saka,Babylove,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6769604682922363,62,6
Starry,Jocko,distinct_brand_true_hard_negative,1,0.0,0.0,0.6823219656944275,221,15
Sprecher,Hi Ball,distinct_brand_true_hard_negative,1,13.33333333333333,0.0,0.6670379638671875,93,5
Splash Blast,Selters,distinct_brand_true_hard_negative,1,31.57894736842105,0.007983925641874673,0.6030548214912415,60,6
Spezi,Paulaner,distinct_brand_true_hard_negative,1,30.76923076923077,0.0,0.6472684144973755,17,5
Sourcy,Healsi,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6499419212341309,224,9
Soleil,Nixie,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.7004007697105408,45,16
Slush Puppie,Blue Keld,distinct_brand_true_hard_negative,1,38.095238095238095,0.03103567340603733,0.6097511053085327,21,14
Slimpie,The Juice Company,distinct_brand_true_hard_negative,1,25.0,0.037027640492489564,0.7319657802581787,106,22
Slimpie,Sicilia,distinct_brand_true_hard_negative,1,42.85714285714286,0.025534324114448684,0.7186071872711182,106,4
Slimpie,Morga,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.707939624786377,106,19
Skinny Mixes,Ralph's,distinct_brand_true_hard_negative,1,21.052631578947366,0.007007541933766413,0.6542105674743652,25,14
Skinny Mixes,Nu Naturals,distinct_brand_true_hard_negative,1,26.086956521739136,0.00643199473458275,0.6332917213439941,25,8
Sir Up,Paquito,distinct_brand_true_hard_negative,1,15.384615384615385,0.0,0.6922074556350708,51,11
Sir Up,Kampos Chioy,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.7091174721717834,51,10
Sir Up,Hip Syrups,distinct_brand_true_hard_negative,1,50.0,0.07677452500258702,0.7410652041435242,51,17
Sir Up,Almdudler,distinct_brand_true_hard_negative,1,13.33333333333333,0.014794118106847446,0.6384375095367432,51,9
Savia,Roosvicee,distinct_brand_true_hard_negative,1,42.85714285714286,0.016508837999165908,0.6682584285736084,35,33
Saol Vitamin Water,MIXXD,distinct_brand_true_hard_negative,1,17.391304347826086,0.015626759408145664,0.7247594594955444,121,4
Sambazon,Frannie's,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.6503177285194397,46,18
Monchique,Mondariz,distinct_brand_true_hard_negative,1,47.05882352941176,0.09295539551289611,0.6475826501846313,24,8
Migros,Reflet de France,distinct_brand_true_hard_negative,1,9.090909090909093,0.0,0.6521415114402771,74,7
Mix,VUE,brand_present_only_in_title,1,0.0,0.0,0.655884861946106,64,3
Creative Roots,Fruity King,distinct_brand_true_hard_negative,1,24.0,0.0,0.6617938280105591,42,35
Country Club,Royal Soda,distinct_brand_true_hard_negative,1,27.27272727272727,0.0,0.5669402480125427,8,4
Cool Best,Frulite,distinct_brand_true_hard_negative,1,25.0,0.0,0.6482601761817932,234,7
Community Coffee,Lucky Jack,distinct_brand_true_hard_negative,1,30.76923076923077,0.0077533328506737414,0.6709548830986023,37,8
Collins,Barsmith,distinct_brand_true_hard_negative,1,13.33333333333333,0.0,0.6224530935287476,28,13
Cold Brew Tea,Swoon,distinct_brand_true_hard_negative,1,11.111111111111116,0.0,0.7032579779624939,10,6
Clive's Fruit Farm,Marcel,distinct_brand_true_hard_negative,1,16.666666666666664,0.010861316025833167,0.7022591829299927,15,33
Clive's Fruit Farm,Actiph,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6930993795394897,15,4
Clever,Premier,distinct_brand_true_hard_negative,1,46.15384615384615,0.05397253151157293,0.7136260867118835,44,121
Clever,Alnavit,distinct_brand_true_hard_negative,1,30.76923076923077,0.0,0.6517596244812012,44,19
Clearly Canadian,Recess,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.7424793839454651,220,17
Cidou,Çamlica,distinct_brand_true_hard_negative,1,33.333333333333336,0.0,0.6998294591903687,62,20
Cidou,Reflet de France,distinct_brand_true_hard_negative,1,9.523809523809524,0.0,0.6720783710479736,62,7
Cido,Eager,distinct_brand_true_hard_negative,1,0.0,0.0,0.6238508820533752,1,5
Christinen,Premier,distinct_brand_true_hard_negative,1,35.29411764705882,0.0,0.683695912361145,34,121
Christinen,Alkaline88,distinct_brand_true_hard_negative,1,30.000000000000004,0.039692935667154455,0.6833904981613159,34,18
Cheribundi,Brämhults,distinct_brand_true_hard_negative,1,21.052631578947366,0.0,0.5990955829620361,96,68
Carola,Imsdal,distinct_brand_true_hard_negative,1,33.333333333333336,0.0,0.557998538017273,48,13
Caresse Antillaise,Wesergold,distinct_brand_true_hard_negative,1,29.629629629629626,0.032428461665464425,0.7288393974304199,62,6
Cal Valls,Raikastamo,distinct_brand_true_hard_negative,1,31.57894736842105,0.0,0.6570419669151306,181,37
Cove,Rowdy Mermaid,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.7164210677146912,50,9
D'Arbo,Meneau,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.6456590890884399,77,40
Caffe D'Vita,Starbucks Frappuccino Vanilla,distinct_brand_true_hard_negative,1,29.268292682926834,0.009327650162268138,0.7357596158981323,14,10
D'Arbo,Protein2O,distinct_brand_true_hard_negative,1,26.66666666666667,0.010808299550610231,0.673577606678009,77,8
Ekolo,Côteaux Nantais,distinct_brand_true_hard_negative,1,9.999999999999998,0.0,0.7494133114814758,140,34
Ekobryggeriet,Premier,distinct_brand_true_hard_negative,1,40.0,0.024444284494845273,0.6534940600395203,68,121
Ege Lokman,Marli,distinct_brand_true_hard_negative,1,26.66666666666667,0.02035100989473956,0.5697870850563049,260,110
Ege Lokman,Kampos Chioy,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.5726993083953857,260,10
Ege Lokman,Aronia Original,distinct_brand_true_hard_negative,1,24.0,0.0,0.5622312426567078,260,7
Ege Lokman,4Bro,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.6228319406509399,260,12
Edeka,Eco+,distinct_brand_true_hard_negative,1,25.0,0.022772269866476253,0.6961977481842041,105,14
ESI,Savia,distinct_brand_true_hard_negative,1,50.0,0.0,0.6578661203384399,22,8
Dunkin',Victor Allen's,distinct_brand_true_hard_negative,1,19.999999999999996,0.025242314272310943,0.7426414489746094,155,10
DubbelFrisss,Monoprix,distinct_brand_true_hard_negative,1,19.999999999999996,0.010056774130498429,0.5660537481307983,168,15
DubbelFrisss,Damla,distinct_brand_true_hard_negative,1,23.529411764705888,0.015786672190962314,0.7469302415847778,168,9
Dry,Aura Bora,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.7269123792648315,96,10
Dropp,Rebbl,distinct_brand_true_hard_negative,1,19.999999999999996,0.0,0.627993106842041,16,9
Dragonball Z,Rowdy Energy,distinct_brand_true_hard_negative,1,25.0,0.0,0.682016134262085,13,17
Dr Brown's,Krokus,distinct_brand_true_hard_negative,1,37.5,0.020733064900838847,0.6019258499145508,173,1
Daylesford,Marli,distinct_brand_true_hard_negative,1,26.66666666666667,0.0,0.6036566495895386,71,110
Dark Blue,Full Throttle,distinct_brand_true_hard_negative,1,27.27272727272727,0.006151451881834106,0.6608747243881226,17,10
Damla,BIKOS,distinct_brand_true_hard_negative,1,0.0,0.0,0.6892590522766113,41,20
Dad's,Ibc,distinct_brand_true_hard_negative,1,0.0,0.0,0.7330121397972107,57,1
Cal Valls,Garant,distinct_brand_true_hard_negative,1,26.66666666666667,0.0,0.7389198541641235,181,63
Cactus Cooler,Mistic,distinct_brand_true_hard_negative,1,21.052631578947366,0.0,0.6147869825363159,18,8
Mix,Drip Drop,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.5509690642356873,64,16
Bacanha,Skratch Labs,distinct_brand_true_hard_negative,1,42.10526315789473,0.0,0.5677843689918518,52,24
Aspire,Goat Fuel,distinct_brand_true_hard_negative,1,26.66666666666667,0.0,0.6896445751190186,136,13
Aqua Pacific,Viwa,distinct_brand_true_hard_negative,1,12.5,0.008932300766616955,0.5871233940124512,52,3
Aqua Esse,Fusion Select,distinct_brand_true_hard_negative,1,36.36363636363637,0.014357332246385048,0.6480351686477661,48,10
Anna's Best,Cool Best,distinct_brand_true_hard_negative,1,50.0,0.39291731570552957,0.706447184085846,29,66
Aloha Maid,De Mi Pais,distinct_brand_true_hard_negative,1,40.0,0.0309182958043893,0.6789247989654541,32,8
Alkalife,Nestlé,distinct_brand_true_hard_negative,1,28.57142857142857,0.0,0.7093180418014526,12,4
Albi,PureThé,distinct_brand_true_hard_negative,1,0.0,0.0,0.6405250430107117,115,4
Albi,Meneau,distinct_brand_true_hard_negative,1,19.999999999999996,0.0,0.6388488411903381,115,40
Albi,Marli,distinct_brand_true_hard_negative,1,66.66666666666667,0.027339360479520552,0.6245445013046265,115,110
Aksu Vital,Akmina,distinct_brand_true_hard_negative,1,50.0,0.08630929366071484,0.6138386726379395,171,7
Ahoj Brause,Mangajo,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.5692700147628784,12,6
Ahoj Brause,Afri-Cola,distinct_brand_true_hard_negative,1,30.000000000000004,0.009773699347257633,0.6544539332389832,12,5
Active O2,Shine Water,distinct_brand_true_hard_negative,1,30.000000000000004,0.007667577721732871,0.6221927404403687,77,12
