side,claim,gtin,gtin_group_size,gtin_group_brands,claim_share_in_group,gtin_check_independent,title_corroborates,title_check_independent,corpus_support,generic_token_fraction,is_generic_category_word,status,role,sku_id
source,Kullamust,,0,,0.0,True,True,True,9,5.5847981793557934e-05,False,confirmed_by_title_only,source,520330212
target,Paquito,3250390006824,1,Paquitox1,1.0,False,True,False,11,0.0,False,derived_only_not_independently_checkable,target,520330212
source,Kutztown,,0,,0.0,True,True,True,29,0.00040489786800329504,False,confirmed_by_title_only,source,816988150
target,Kutztown,703694611858,1,Kutztownx1,1.0,False,True,False,29,0.00040489786800329504,False,derived_only_not_independently_checkable,target,816988150
source,True North,,0,,0.0,True,False,True,50,0.0018010974128422434,False,unverified_no_independent_evidence,source,466189744
target,Yerbae,853156007092,1,Yerbaex1,1.0,False,True,False,98,0.001326389567597001,False,derived_only_not_independently_checkable,target,466189744
source,Zumosol,,0,,0.0,True,False,True,161,0.001647515462909959,False,unverified_no_independent_evidence,source,281664820
target,Libby's,8412755108504,1,Libby'sx1,1.0,False,True,False,30,0.0003909358725549055,False,derived_only_not_independently_checkable,target,281664820
source,RC Cola,,0,,0.0,True,True,True,73,0.0010052636722840428,False,confirmed_by_title_only,source,690232366
target,Peapod,688267001352,2,Peapodx2,1.0,False,True,False,180,0.002359577230777823,False,derived_only_not_independently_checkable,target,690232366
source,Kiviks Musteri,7314720716305,2,Kiviks Musterix2,1.0,True,False,True,261,0.0,False,confirmed_by_co_listings,source,672078252
target,So Natural,5603493001001,2,So Naturalx2,1.0,False,True,False,93,0.0015777054856680117,False,derived_only_not_independently_checkable,target,672078252
source,Kizilay,,0,,0.0,True,False,True,117,0.0004188598634516845,False,unverified_no_independent_evidence,source,214981461
target,Eager,5060113200747,1,Eagerx1,1.0,False,True,False,52,0.0006841377769710847,False,derived_only_not_independently_checkable,target,214981461
source,Mehukatti,6415130077169,2,Mehukattix2,1.0,True,False,True,109,0.0,False,confirmed_by_co_listings,source,131805237
target,Mehukatti,6415130077169,2,Mehukattix2,1.0,False,True,False,109,0.0,False,derived_only_not_independently_checkable,target,131805237
source,Manzanita Sol,,0,,0.0,True,True,True,52,0.0007120617678678636,False,confirmed_by_title_only,source,352634480
target,Cock N Bull,810158581258,2,Cock N Bullx2,1.0,False,True,False,142,0.0019826033536713065,False,derived_only_not_independently_checkable,target,352634480
source,SEK,,0,,0.0,True,False,True,30,0.0,False,unverified_no_independent_evidence,source,909572750
target,Fiuggi,8015962000533,3,Fiuggix3,1.0,False,True,False,27,0.00033508789076134763,False,derived_only_not_independently_checkable,target,909572750
source,Sisi,,0,,0.0,True,True,True,101,0.0010750736495259902,False,confirmed_by_title_only,source,749986134
target,Sisi,8715600246315,4,Sisix4,1.0,False,True,False,101,0.0010750736495259902,False,derived_only_not_independently_checkable,target,749986134
source,May Tea,3124480185112,6,May Teax6,1.0,True,True,True,258,0.00297390503050696,False,confirmed_by_co_listings,source,20394241
target,May Tea,3124480185112,6,May Teax6,1.0,False,True,False,258,0.00297390503050696,False,derived_only_not_independently_checkable,target,20394241
source,Olympos,5202178084065,2,Olymposx2,1.0,True,False,True,114,0.0,False,confirmed_by_co_listings,source,165783191
target,Aroniasaft,7613312094464,1,Aroniasaftx1,1.0,False,True,False,14,1.3961995448389483e-05,False,derived_only_not_independently_checkable,target,165783191
source,Caffe D'Vita,,0,,0.0,True,True,True,14,0.0022059952808455383,False,confirmed_by_title_only,source,613901951
target,Starbucks Frappuccino Vanilla,100142347862,1,Starbucks Frappuccino Vanillax1,1.0,False,True,False,72,0.0010052636722840428,False,derived_only_not_independently_checkable,target,613901951
source,Valio,6408430102419,3,Valiox3,1.0,True,False,True,275,0.00012565795903550535,False,confirmed_by_co_listings,source,764947215
target,Valio,6408430102419,3,Valiox3,1.0,False,True,False,275,0.00012565795903550535,False,derived_only_not_independently_checkable,target,764947215
source,May Tea,3124480189158,7,May Teax7,1.0,True,True,True,258,0.00297390503050696,False,confirmed_by_co_listings,source,165916902
target,May Tea,3124480189158,7,May Teax7,1.0,False,True,False,258,0.00297390503050696,False,derived_only_not_independently_checkable,target,165916902
source,Vio,,0,,0.0,True,True,True,114,0.0014380855311841168,False,confirmed_by_title_only,source,49437976
target,Vio,5449000299628,1,Viox1,1.0,False,True,False,114,0.0014380855311841168,False,derived_only_not_independently_checkable,target,49437976
source,Emmi,,0,,0.0,True,True,True,172,0.0020803373218100333,False,confirmed_by_title_only,source,858729213
target,Emmi,7610900301638,1,Emmix1,1.0,False,True,False,172,0.0020803373218100333,False,derived_only_not_independently_checkable,target,858729213
source,Pin,8683079425428,1,Pinx1,1.0,True,True,True,48,0.00030716389986456866,False,confirmed_by_co_listings,source,869480020
target,Pin,8683079425428,1,Pinx1,1.0,False,True,False,48,0.00030716389986456866,False,derived_only_not_independently_checkable,target,869480020
source,Royal Bliss,,0,,0.0,True,True,True,94,0.0014799715175292853,False,confirmed_by_title_only,source,96265195
target,Royal Bliss,54001565,2,Royal Blissx2,1.0,False,True,False,94,0.0014799715175292853,False,derived_only_not_independently_checkable,target,96265195
source,God Morgon,7313619001584,3,God Morgonx3,1.0,True,False,True,257,0.0,False,confirmed_by_co_listings,source,336020772
target,God Morgon,7313619001584,3,God Morgonx3,1.0,False,True,False,257,0.0,False,derived_only_not_independently_checkable,target,336020772
source,Aksu Vital,,0,,0.0,True,True,True,171,0.00022339192717423174,False,confirmed_by_title_only,source,245797215
target,Aksu Vital,8690088018923,4,Aksu Vitalx4,1.0,False,True,False,171,0.00022339192717423174,False,derived_only_not_independently_checkable,target,245797215
source,May Tea,3124480189073,6,May Teax6,1.0,True,False,True,258,0.00297390503050696,False,confirmed_by_co_listings,source,517435480
target,May Tea,3124480189073,6,May Teax6,1.0,False,True,False,258,0.00297390503050696,False,derived_only_not_independently_checkable,target,517435480
source,Relentless,5060466510210,2,Relentlessx2,1.0,True,False,True,118,0.0014380855311841168,False,confirmed_by_co_listings,source,19697655
target,Cult,5710176002740,2,Cultx2,1.0,False,True,False,53,0.000781871745109811,False,derived_only_not_independently_checkable,target,19697655
source,Clean Drink,7350089430704,4,Clean Drinkx4,1.0,True,False,True,101,0.003937282716445834,False,confirmed_by_co_listings,source,203843461
target,Clean Drink,7350089430704,4,Clean Drinkx4,1.0,False,True,False,101,0.003937282716445834,False,derived_only_not_independently_checkable,target,203843461
source,Proviva,7350000551396,6,Provivax6,1.0,True,False,True,222,0.0007679097496614216,False,confirmed_by_co_listings,source,280043335
target,The Juice Company,4088600404004,1,The Juice Companyx1,1.0,False,True,False,40,0.0023037292489842646,False,derived_only_not_independently_checkable,target,280043335
source,Eska,,0,,0.0,True,False,True,98,0.0009494156904904849,False,unverified_no_independent_evidence,source,67284602
target,Eska,671785100010,1,Eskax1,1.0,False,True,False,98,0.0009494156904904849,False,derived_only_not_independently_checkable,target,67284602
source,Marcel,3700749300061,1,Marcelx1,1.0,True,False,True,129,0.0011169596358711587,False,confirmed_by_co_listings,source,438179574
target,Marcel,3700749300061,1,Marcelx1,1.0,False,True,False,129,0.0011169596358711587,False,derived_only_not_independently_checkable,target,438179574
source,Dad's,,0,,0.0,True,True,True,57,0.0005026318361420214,False,confirmed_by_title_only,source,952300679
target,Ibc,304628333190,1,Ibcx1,1.0,False,True,False,81,0.0010052636722840428,False,derived_only_not_independently_checkable,target,952300679
source,Ikea,,0,,0.0,True,True,True,6,8.377197269033691e-05,False,confirmed_by_title_only,source,81938494
target,D'Arbo,9001432018138,4,D'Arbox4,1.0,False,True,False,77,0.00022339192717423174,False,derived_only_not_independently_checkable,target,81938494
source,Slimpie,,0,,0.0,True,False,True,106,0.00022339192717423174,False,unverified_no_independent_evidence,source,948693130
target,The Juice Company,4088600124070,1,The Juice Companyx1,1.0,False,True,False,40,0.0023037292489842646,False,derived_only_not_independently_checkable,target,948693130
source,Venom,,0,,0.0,True,True,True,58,0.0011309216313195483,False,confirmed_by_title_only,source,857477196
target,Full Throttle,655466965693,1,Full Throttlex1,1.0,False,True,False,61,0.0007958337405582006,False,derived_only_not_independently_checkable,target,857477196
source,Monoprix,,0,,0.0,True,True,True,144,0.0017452494310486854,False,confirmed_by_title_only,source,1009974015
target,Monoprix,3350033594142,1,Monoprixx1,1.0,False,True,False,144,0.0017452494310486854,False,derived_only_not_independently_checkable,target,1009974015
source,Ramlösa,7310074002507,6,Ramlösax6,1.0,True,False,True,338,0.0,False,confirmed_by_co_listings,source,58781960
target,Ramlösa,73145714,4,Ramlösax4,1.0,False,False,False,338,0.0,False,derived_only_not_independently_checkable,target,58781960
source,Kotimaista,6415712610593,2,Kotimaistax2,1.0,True,False,True,96,0.0,False,confirmed_by_co_listings,source,75367564
target,Ramlösa,7310070005953,4,Ramlösax4,1.0,False,False,False,338,0.0,False,derived_only_not_independently_checkable,target,75367564
source,Nutramino,,0,,0.0,True,True,True,57,0.0005445178224871899,False,confirmed_by_title_only,source,51415244
target,Clean Drink,7350089431183,2,Clean Drinkx2,1.0,False,True,False,101,0.003937282716445834,False,derived_only_not_independently_checkable,target,51415244
source,Bravo,7310867565905,7,Bravox7,1.0,True,False,True,137,0.0006980997724194742,False,confirmed_by_co_listings,source,176142885
target,Garant,7311043000418,1,Garantx1,1.0,False,True,False,191,0.0,False,derived_only_not_independently_checkable,target,176142885
source,Alvalle,8410409010142,6,Alvallex6,1.0,True,True,True,26,0.00020942993172584225,False,confirmed_by_co_listings,source,56449421
target,Alvalle,8410409010142,6,Alvallex6,1.0,False,True,False,26,0.00020942993172584225,False,derived_only_not_independently_checkable,target,56449421
source,Jacobs,,0,,0.0,True,False,True,42,0.000460745849796853,False,unverified_no_independent_evidence,source,931564036
target,Paulig,6411301625313,1,Pauligx1,1.0,False,True,False,52,0.0003909358725549055,False,derived_only_not_independently_checkable,target,931564036
source,Côteaux Nantais,3301591000491,3,Côteaux Nantaisx3,1.0,True,False,True,108,0.0,False,confirmed_by_co_listings,source,339349286
target,Côteaux Nantais,3301591000514,2,Côteaux Nantaisx2,1.0,False,False,False,108,0.0,False,derived_only_not_independently_checkable,target,339349286
source,Clean Drink,7350089431107,6,Clean Drinkx6,1.0,True,False,True,101,0.003937282716445834,False,confirmed_by_co_listings,source,426237408
target,Clean Drink,7350089430070,6,Clean Drinkx6,1.0,False,True,False,101,0.003937282716445834,False,derived_only_not_independently_checkable,target,426237408
source,OxyShred,,0,,0.0,True,True,True,28,1.3961995448389483e-05,False,confirmed_by_title_only,source,886948923
target,OxyShred,810095630262,1,OxyShredx1,1.0,False,True,False,28,1.3961995448389483e-05,False,derived_only_not_independently_checkable,target,886948923
source,Sisi,,0,,0.0,True,True,True,101,0.0010750736495259902,False,confirmed_by_title_only,source,54272430
target,Sisi,8715600245318,3,Sisix3,1.0,False,True,False,101,0.0010750736495259902,False,derived_only_not_independently_checkable,target,54272430
source,So Natural,5603493007102,2,So Naturalx2,1.0,True,True,True,93,0.0015777054856680117,False,confirmed_by_co_listings,source,170330818
target,So Natural,5603493006549,2,So Naturalx2,1.0,False,True,False,93,0.0015777054856680117,False,derived_only_not_independently_checkable,target,170330818
source,Sunmagic,,0,,0.0,True,True,True,26,0.0003630118816581266,False,confirmed_by_title_only,source,924976629
target,Mr. Fitzpatrick's,5060407070681,2,Mr. Fitzpatrick'sx2,1.0,False,True,False,34,0.00037697387710651606,False,derived_only_not_independently_checkable,target,924976629
source,Valio,6408430102419,3,Valiox3,1.0,True,False,True,275,0.00012565795903550535,False,confirmed_by_co_listings,source,763759694
target,Valio,6408430102419,3,Valiox3,1.0,False,True,False,275,0.00012565795903550535,False,derived_only_not_independently_checkable,target,763759694
source,Super Drink,,0,,0.0,True,True,True,116,0.005570836183907404,False,confirmed_by_title_only,source,29380428
target,Super Drink,642709032519,1,Super Drinkx1,1.0,False,True,False,116,0.005570836183907404,False,derived_only_not_independently_checkable,target,29380428
