gtin1,gtin2,true_label
5060128500504,758391122367,1
5060128500504,758391122398,1
5060128500504,758391123388,1
5060128500801,720061382142,1
5060128500801,720061382180,1
5060128500801,758391122367,1
5060128501105,720061306452,1
5060128501105,720061306476,1
5060128501105,720061382142,1
5060128501105,720061382180,1
5060128501105,758391122367,1
5060128501105,758391122398,1
5060128501204,720061382142,1
5060128501204,720061382180,1
5060128501204,758391122367,1
5060128501402,720061382142,1
5060128501402,720061382180,1
5060128501402,758391122367,1
5060318667437,5060318669080,1
5060484660027,5060484660102,1
5060510930018,5060510930100,1
5060510930018,5060510930124,1
5060510930100,5060510930124,1
5201156091613,5201156633035,1
5201156091644,5201156091651,1
5201156091651,5201156110260,1
5201627120026,5201627260456,1
5425002980122,5425002980139,1
5425015361376,5425015361383,1
5425015361383,5425015361468,1
5425015361468,5425015361475,1
5449000146564,5449000232502,1
5601195510128,8437012363007,1
5707577121309,5707577123020,1
607353953511,747501843216,1
612637255663,685987078664,1
613412075384,970977918144,1
613665160738,629710237393,1
613665160738,646035595779,1
615629327751,642709033585,1
615629327751,642709040156,1
615629484607,642709033585,1
615629484607,642709040156,1
615888989264,673276821404,1
615888989264,673276851340,1
618020799950,664697916435,1
629710237393,646035595779,1
637769186319,728131236357,1
637910000150,637910000204,1
639196021799,857880006703,1
640081094408,810132093364,1
6415130036357,6415130036364,1
6415130036357,6415130086062,1
6415130036357,6415130086079,1
6415130036357,6415130086086,1
6415130036357,6415130086093,1
6415130036364,6415130086062,1
6415130036364,6415130086079,1
6415130036364,6415130086086,1
6415130036364,6415130086093,1
6415130086062,6415130086079,1
6415130086062,6415130086086,1
6415130086062,6415130086093,1
6415130086079,6415130086086,1
6415130086079,6415130086093,1
6415130086086,6415130086093,1
642135624777,857416006184,1
642135624791,857416006245,1
642135624791,857416006252,1
642709033530,642709033585,1
642709033530,642709040156,1
642709033585,642709036241,1
642709033585,642709040156,1
642709033585,642709100232,1
642709036241,642709040156,1
642709037460,642709037477,1
642709037460,642709100249,1
642709037460,736983891518,1
642709037460,736983891532,1
642709037460,736983891549,1
642709037460,736983891563,1
642709037460,855036005266,1
642709037477,642709100287,1
642709037477,736983891518,1
642709037477,736983891563,1
642709037477,855036005266,1
642709037828,852427006185,1
642709040156,642709100232,1
642709068396,721094199851,1
642709089940,642709101987,1
642709100249,736983891563,1
642709100249,855036005266,1
642709100287,736983891518,1
642709101710,642709101758,1
647854720106,647854720502,1
647854720106,778554417499,1
655466867744,655466965693,1
656346622392,680332586078,1
664533280287,680201879935,1
664790000543,664790000611,1
664790000611,664790000857,1
665609403647,665609403654,1
665609403647,858657006001,1
665609403654,858657006001,1
666945268358,666945268471,1
668723034889,751901886438,1
668723034889,752697964546,1
668723034889,758918255318,1
668723034889,761759557602,1
668723034889,853303007296,1
669393950844,669393950929,1
671785501800,880025906941,1
673276821404,673276851340,1
680201879911,680201879973,1
680201879911,680201880030,1
680332581493,680332581530,1
680332581530,680332582445,1
680332584180,736983894304,1
680332584982,855235002813,1
680332585057,680332585088,1
680332586085,680332586092,1
680332586276,680332586481,1
683370801554,683370801585,1
685987078664,685987082586,1
686082455671,689128697950,1
686082455671,732976282370,1
686082455671,743272197558,1
686082455671,850417005170,1
686082455671,850417005194,1
688267097157,688267128943,1
688267671876,688267671890,1
688943366362,743234001749,1
689128697950,732976282370,1
689128697950,743272197558,1
689128697950,850417005170,1
689128697950,850417005194,1
696850027207,892125002539,1
696850061591,696850062529,1
696850061591,728925620607,1
696850062529,728925620607,1
696850062901,728925620836,1
697937379080,763351603541,1
703694611575,703694611599,1
703694611766,703694611773,1
703694611766,703694611834,1
703694611773,703694611780,1
703694611773,703694611810,1
703694611773,703694611834,1
703694611780,703694611834,1
703694611810,703694611834,1
703694617102,745559826304,1
703694617713,745559822641,1
705715572698,766204450262,1
710051617248,710051617255,1
710051631060,710051631572,1
715120446507,791810745464,1
719943614648,719943614655,1
720061306469,758391122480,1
720061306476,758391122398,1
720061382142,720061382180,1
721094199707,721094200069,1
721866639066,721866639073,1
721866639066,721867271111,1
721866639066,721867271128,1
721866639066,721867277267,1
721866639073,721867271111,1
721866639073,721867271128,1
721866639073,721867277267,1
721867271111,721867271128,1
721867271111,721867277267,1
721867271128,721867277267,1
728062556197,728062764967,1
7310072000123,7310072000536,1
7310074002507,7310074002514,1
7310074002507,7310074002521,1
7310074002507,7310074006000,1
7310074002507,7310074008097,1
7310074006253,7310074009278,1
7310403001669,7310403007937,1
7310403001669,7310403041832,1
7310403007937,7310403041832,1
7311677170754,7311678270750,1
732623607419,850019890105,1
732976282370,743272197558,1
732976282370,850417005170,1
732976282370,850417005194,1
732976288761,743272200043,1
732976288761,743272203044,1
732976288761,845163004294,1
7350021420480,7350021424273,1
735143004645,735143004676,1
736983891518,736983891563,1
736983891518,855036005266,1
736983891532,736983891563,1
736983891532,855036005266,1
736983891549,736983891563,1
736983891549,855036005266,1
736983891563,855036005266,1
739781523438,747519482230,1
739781523438,751901631939,1
743272197558,850417005170,1
743272197558,850417005194,1
743272200043,743272203044,1
743272200043,845163004294,1
743272203044,845163004294,1
745559818590,745559826786,1
745559818644,745559818873,1
746155811152,746155811169,1
746155827689,758218587164,1
746155828440,773821087849,1
746155828440,868657000039,1
747339661945,854322005089,1
747519475737,751787157370,1
747519475737,758106228582,1
747519475737,763515912137,1
747519475737,768795190725,1
747519482230,751901631939,1
747525200323,747525232126,1
749004113124,749004114992,1
749004113124,749004115005,1
749004113124,749004115029,1
749004114992,749004115005,1
749004115005,749004115029,1
751035017265,850019890013,1
751787157370,758106228582,1
751787157370,763515912137,1
751787157370,768795190725,1
751901886438,752697964546,1
751901886438,758918255318,1
751901886438,761759557602,1
751901886438,853303007296,1
752697964546,758918255318,1
752697964546,761759557602,1
752697964546,853303007296,1
758106228582,763515912137,1
758106228582,768795190725,1
758218587164,798235701013,1
758391122367,758391123388,1
758918255318,761759557602,1
758918255318,853303007296,1
761759557602,853303007296,1
761994324403,780994810686,1
763515912137,768795190725,1
768786452504,768786452511,1
773821087849,868657000039,1
780999003410,780999003618,1
782269316015,782269316213,1
787776665090,787776665793,1
793674820073,793674820462,1
796520502017,796520502024,1
796520502017,796520502031,1
796520502017,818411000706,1
798235705363,894357002134,1
798235720458,851818001631,1
8002267004212,8002267025644,1
8002267006544,8002267007107,1
8003160060596,8003170016415,1
8003160128593,8003170057739,1
8003170016354,8003170045378,1
8005613000012,8005613040018,1
8005613000012,8005613040025,1
8005613040018,8005613040025,1
8009245002000,8009245770800,1
810019268243,810119703934,1
810019268243,810119704245,1
810031200092,810031201150,1
810031200566,810031201105,1
810031201181,857416006931,1
810036265348,810036267366,1
810036267366,810036267847,1
810036267366,810036267861,1
810036267366,810036267878,1
810065689368,810065689429,1
810071976384,810071976391,1
810071976384,810119703941,1
810071976391,810119703941,1
810095630200,810095630262,1
810095630200,810095632174,1
810095630200,850029937296,1
810095630200,850029937302,1
810095630262,810095632174,1
810095630262,850029937296,1
810095630262,850029937302,1
810095632174,850029937296,1
810095632174,850029937302,1
810113510439,810113510477,1
810113510439,810113510484,1
810113510477,810113510484,1
810113510477,810113510491,1
810113510484,810113510491,1
810119703927,810119703934,1
810119703934,810119704245,1
810132090851,810132090905,1
810132092084,810132092091,1
810132093708,810132093739,1
810146582991,810146583073,1
810146582991,850013500086,1
810146583073,850013500086,1
810161620005,810161620029,1
810161620067,810161620074,1
811130031631,811130033185,1
811130033512,811130033673,1
811374035341,811374035372,1
818645010298,818645010465,1
818645010465,818645010472,1
840269200212,840269200250,1
840461202939,840461202946,1
840461202939,840461202953,1
840461202939,840461202960,1
840461202946,840461202960,1
840461202953,840461202960,1
842885097146,842885097252,1
850010701707,850010701714,1
850018249232,850018249249,1
850029937296,850029937302,1
850031083004,850031083059,1
850031418035,853057007146,1
850031418066,853057007139,1
850032072014,850032072038,1
850032072014,850032072090,1
850032072014,850032072113,1
850032072014,850032072175,1
850032072038,850032072090,1
850032072038,850032072113,1
850032072090,850032072113,1
850032072113,850032072175,1
850033833676,850033833683,1
850044667079,850044667529,1
850044833238,850044833276,1
850061075123,850061075130,1
850065428017,850065428031,1
850417005170,850417005194,1
851280008138,851818001877,1
851280008138,851818001884,1
851280008138,851818001907,1
851818001440,851818001877,1
851818001655,851818001877,1
852789008445,852789008452,1
853146007187,853146007194,1
853146007187,853146007996,1
853156007009,853156007627,1
853158004037,853158004068,1
853158004044,853158004051,1
853647000700,853647000854,1
853647000762,853647000908,1
855036005181,855036005860,1
857416006245,857416006252,1
857416006856,857416006863,1
858159001177,858159001696,1
858159001177,858159001719,1
858159001177,858159001733,1
858159001177,858159001795,1
858159001696,858159001719,1
858159001696,858159001733,1
858159001696,858159001795,1
858159001719,858159001795,1
858159001733,858159001795,1
859336007135,859336007630,1
859336007135,859336007647,1
859336007135,859336007654,1
859336007630,859336007654,1
860002364186,860002364193,1
865920000437,868235000451,1
865920000437,868235000475,1
868235000451,868235000475,1
8690504526391,8697520790614,1
8693593115682,8693593118294,1
8693855000893,8693855001111,1
8710395946983,8710395949236,1
8710395946983,8715700112152,1
8710395949236,8715700112152,1
8710458028403,8710624345709,1
8710624031473,8718989006495,1
8710624096366,8710624308315,1
8710624308315,8718989009489,1
8710624308315,8718989009519,1
8710624308407,8710624345679,1
8710624308490,8710624308520,1
8710624345617,8710624345679,1
8711900015392,8711900017433,1
8711900015392,8711900017495,1
8711900018874,8711900018935,1
8713300044286,8720157464891,1
8713300044286,8720157464914,1
8713300051611,8720157402282,1
8713300051611,8720157467618,1
8716213000080,8716213000097,1
8716213000080,8716213001407,1
8716213000097,8716213001292,1
8716213000097,8716213001407,1
8716213000240,8716213000417,1
8716213000271,8716213001360,1
8716213000332,8716213001292,1
8716213000417,8716213001360,1
8716213000417,8716213001421,1
8716213000899,8716213001360,1
8716213001292,8716213001445,1
8718989009458,8718989009489,1
8718989009458,8718989009519,1
8718989009489,8718989009519,1
8720157402282,8720157467618,1
8720157464891,8720157464914,1
8722200963085,8722200963092,1
880287899500,880570467560,1
883315000022,883315100210,1
883315000022,883315100227,1
883315100210,883315100227,1
888022003366,888022003373,1
892125002508,892125002515,1
892125002522,892125002539,1
894357002035,894357002134,1
100141411823,100141418631,0
100141457524,100141564826,0
100141457524,100142347862,0
100141457524,100142790682,0
100141457524,100142961532,0
100141457524,804090204825,0
100141457524,915953021616,0
100141457524,994289255810,0
100141561399,100145939866,0
100141564826,796762808045,0
100141564826,804090204825,0
100141564826,994289255810,0
100141649301,100141866852,0
100141866852,100141871429,0
100142347862,796762808045,0
100142347862,804090204825,0
100142347862,994289255810,0
100142790682,796762808045,0
100142790682,804090204825,0
100142790682,994289255810,0
100142899385,308133313166,0
100142899385,604015877215,0
100142899385,689128699077,0
100142899385,723651221609,0
100142899385,723651221692,0
100142899385,723651221715,0
100142899385,731329136841,0
100142899385,732976285104,0
100142899385,752798487173,0
100142899385,752798487203,0
100142899385,752798487210,0
100142899385,752798487234,0
100142899385,752798487241,0
100142899385,752798487258,0
100142899385,767870802423,0
100142961532,5711953148538,0
100142961532,796762808045,0
100142961532,804090204825,0
10072058610576,892125002508,0
10072058610576,892125002515,0
10072058619586,892125002409,0
10072058619586,892125002416,0
10099429128638,310094334128,0
103402494269,129600516787,0
103402494269,686514852061,0
103402494269,746155811152,0
103402494269,746155811169,0
10637910000041,6220171969010,0
10637910000041,637910000150,0
10637910000041,637910000204,0
10637910325618,6220171969010,0
10637910325618,637910000150,0
10637910325618,637910000204,0
10860534000191,746155812975,0
10860534000191,859336007074,0
10860534000191,859336007135,0
10860534000191,859336007654,0
10860534000191,859336007906,0
10860534000191,859336007944,0
10860534000191,860534000101,0
10860534000191,860534000125,0
10860534000191,860534000194,0
125113320071,422415213019,0
125113320071,696850061164,0
129600516787,686514852061,0
15056079900279,5020055100772,0
17311673200254,7311678270255,0
17314720710591,7314720620268,0
17314720710591,7314720710501,0
17314720710591,7314720710853,0
174429181081,811538011181,0
180626000377,615888989264,0
180626000377,615888989295,0
180626000377,673276821404,0
180626000377,673276851340,0
182136000014,182136000021,0
182136000014,182136000083,0
182136000014,182136000465,0
182136000014,686686987691,0
182136000014,732623725441,0
182136000021,182136000052,0
182136000021,182136000083,0
182136000021,182136000465,0
182136000021,686686987691,0
182136000021,732623725441,0
182136000052,686686987691,0
182136000083,182136000465,0
182136000083,686686987691,0
182136000083,732623725441,0
182136000465,686686987691,0
182136000465,732623725441,0
183633000262,732623760503,0
185687878958,680332585026,0
185687878958,680332585095,0
189727000217,189727001016,0
189727000231,189727001047,0
189727000248,189727001023,0
190283174427,5029354002589,0
190283729634,799210375021,0
192397070268,406455756897,0
192397070268,651830855225,0
192397070268,679487700125,0
192397070268,728062556197,0
192397070268,728062764967,0
192397070268,782279201653,0
195372000557,195372111802,0
195372000564,195372000625,0
195372000564,195372111802,0
195372000571,195372111802,0
195372000595,195372000625,0
195372000595,195372000724,0
195372000595,195372111802,0
195372000618,195372000625,0
195372000625,195372531556,0
195372000625,195372823903,0
195372000625,642709101956,0
195372000724,195372731048,0
195372000724,195372823903,0
195372000724,642709101956,0
195372000724,642709102441,0
195372111802,195372172117,0
195372111802,195372823903,0
195372111802,642709101956,0
195515035323,195515047555,0
198717100493,668723034889,0
198717100493,751901886438,0
198717100493,752697964546,0
198717100493,758918255318,0
198717100493,761759557602,0
198717100493,810067570022,0
198717100493,853303007012,0
198717100493,853303007029,0
198717100493,853303007296,0
198717100493,853303007524,0
198717100493,853303007678,0
2000440896193,2000442355216,0
2000440896193,2000443853636,0
2000440896193,4104450005311,0
2000440896193,4104450005335,0
2000440896193,4104450005571,0
2000440896193,4104450005588,0
2000440896193,4104450005885,0
2000440896193,4104450065575,0
2000440896193,4104450065582,0
2000442355216,2000443853636,0
2000442355216,4104450005311,0
2000442355216,4104450005335,0
2000442355216,4104450005571,0
2000442355216,4104450005588,0
2000442355216,4104450005885,0
2000442355216,4104450065575,0
2000442355216,4104450065582,0
2000443853636,4104450005571,0
2000443853636,4104450005588,0
2000443853636,4104450005885,0
2000443853636,4104450065575,0
2000443853636,4104450065582,0
2000443854312,4018715002864,0
2000443854312,4018715519218,0
20095901,4013143110013,0
20095901,4013143110167,0
2020000589006,9001521000228,0
2020001482702,2020004877154,0
2020001692514,4260122390038,0
2020001692514,4260122390397,0
2020001692514,4260122390878,0
2020001692514,4260122391127,0
2020001692514,4260122391431,0
2020001707898,4260122390045,0
2020001707898,4260122390403,0
2020002811518,2020005432963,0
2020002811518,2020005640474,0
2020003517945,2020005436343,0
2020003517945,2020005436367,0
2020003627941,9120075270762,0
2020003764219,4260705330086,0
2020003779640,9001521002758,0
2020003794988,2020004273420,0
2020003794988,611269373226,0
2020004273420,90435744,0
2020005054080,4779033974218,0
2020005228900,4779056910187,0
2020005432963,2020005640474,0
2020005433380,2020005436343,0
2020005433380,2020005436367,0
2200072148138,2200258546192,0
2200072152098,2200258546192,0
2200081476772,2200258546192,0
2200258545348,2200273772910,0
2200258546192,2200273772910,0
3021891003243,3760224570013,0
302683208323,371993687913,0
302683208323,608729294085,0
302683208323,723651375814,0
302683208323,723651375920,0
302683208323,742488100642,0
302683208323,782069279312,0
302683211866,352937490134,0
304061266642,880652993109,0
304628333145,658678522111,0
304628333428,3142794192480,0
304827076997,615888960935,0
304827076997,6220171971204,0
304827076997,810050330565,0
304827076997,853158004006,0
304827076997,853158004037,0
304827076997,853158004044,0
304827076997,853158004051,0
304827076997,853158004068,0
304827076997,853158004075,0
304827076997,853158004235,0
304827076997,853158004242,0
304827076997,853158004310,0
304827076997,853158004853,0
3048431001996,3048431061167,0
3048431001996,3546635007382,0
3048431001996,3546635039987,0
3048431001996,3546635039994,0
3048431001996,3546635040549,0
3048431001996,3546635040792,0
3048431061167,3048431061990,0
3048431061167,3546635007382,0
3048431061167,3546635039987,0
3048431061167,3546635039994,0
3048431061167,3546635040792,0
3048431061990,3546635007382,0
3048431061990,3546635039987,0
3048431061990,3546635039994,0
3048431061990,3546635040549,0
3048431061990,3546635040792,0
305485861802,305485870552,0
305485861802,305485870569,0
305485861802,305485870613,0
305485870538,305485870606,0
305485870538,736211575319,0
305485870552,305485870569,0
305485870552,305485870613,0
305485870576,7427296824098,0
305485870606,736211575319,0
305485870613,7427296824098,0
3068320115160,3068320115344,0
3068320115160,3068320123271,0
3068320115177,3068320115344,0
3068320115177,3068320123271,0
3068320115344,3068320123264,0
3068320115344,3068320123271,0
3068320116136,3068320123424,0
3068320116136,3068320693002,0
3068320123424,3068320693002,0
3068320123455,3068320693002,0
308133313166,604015877215,0
308133313166,723651221692,0
308133313166,723651221715,0
308133313166,731329136841,0
308133313166,752798487197,0
308133313166,752798487203,0
308133313166,752798487210,0
308133313166,752798487234,0
308133313166,752798487241,0
308133313166,752798487258,0
3100880269225,3100880756633,0
3100880269225,3100881040755,0
3100880269225,3100882040754,0
3100880269225,3100882040808,0
3100880756633,3100881040755,0
3100880756633,3100882040754,0
3100880756633,3100882040808,0
3100881040755,3100882040808,0
3100882040754,3100882040808,0
310094334128,605352475935,0
310094334128,696850061805,0
310094334128,696850061812,0
310094334128,696850061874,0
310094334128,764442286209,0
310094334128,810084440568,0
3108020266905,3108020728359,0
3108020266905,3108020730239,0
3108020728359,3108020983017,0
3108020728359,3108021065507,0
3108020730239,3108020983017,0
3108020730239,3108021065507,0
3119070016013,3119070064090,0
3119070016013,3119070912155,0
3119070064090,3119070912155,0
3119070064106,3119070920167,0
3124480100016,3124480172013,0
3124480100016,3124480183828,0
3124480100016,3124480191182,0
3124480100016,3124480193582,0
3124480183828,3124480193582,0
3124480185112,3124480185174,0
3124480185112,3124480191052,0
3124480185112,3124480195319,0
3124480185112,3124480199300,0
3124480185129,3124480185136,0
3124480185129,3124480190512,0
3124480185129,3124480195326,0
3124480185129,3124480195357,0
3124480185129,3124480199348,0
3124480185129,8414100364146,0
3124480185136,3124480185228,0
3124480185136,3124480190512,0
3124480185136,3124480195326,0
3124480185136,5410221306143,0
3124480185136,8414100364047,0
3124480185150,3124480185174,0
3124480185150,3124480185501,0
3124480185150,3124480191052,0
3124480185150,3124480195319,0
3124480185150,3124480195357,0
3124480185150,3124480199300,0
3124480185150,8414100363941,0
3124480185167,3124480195333,0
3124480185167,5410221205460,0
3124480185167,8414100363743,0
3124480185174,3124480189110,0
3124480185174,3124480191052,0
3124480185174,3124480195319,0
3124480185174,3124480195357,0
3124480185174,5410221306150,0
3124480185174,8414100363842,0
3124480185204,3124480195340,0
3124480185204,3124480195357,0
3124480185204,5410221308819,0
3124480185228,3124480190512,0
3124480185228,3124480195326,0
3124480185228,3124480195357,0
3124480185228,3124480199348,0
3124480185228,8414100364146,0
3124480185501,3124480195319,0
3124480185501,5410221306150,0
3124480189110,3124480190512,0
3124480189110,3124480195319,0
3124480189110,3124480195326,0
3124480189110,3124480195333,0
3124480189110,3124480195357,0
3124480189110,3124480199300,0
3124480189110,3124480199348,0
3124480189110,5410221205460,0
3124480189110,8414100363743,0
3124480189110,8414100364146,0
3124480190512,3124480195326,0
3124480190512,3124480195357,0
3124480190512,3124480199348,0
3124480190512,5410221306143,0
3124480190512,8414100364047,0
3124480190512,8414100364146,0
3124480191052,3124480195319,0
3124480191052,3124480199300,0
3124480191052,5410221306150,0
3124480191182,3124480193582,0
3124480195319,3124480199300,0
3124480195319,5410221306150,0
3124480195319,8414100363842,0
3124480195319,8414100363941,0
3124480195326,3124480199348,0
3124480195326,5410221306143,0
3124480195326,8414100364047,0
3124480195326,8414100364146,0
3124480195333,5410221205460,0
3124480195333,8414100363644,0
3124480195333,8414100363743,0
3124480195333,8414100388333,0
3124480195333,8414100388357,0
3124480195357,3124480199300,0
3124480195357,3124480199348,0
3124480195357,5410221205460,0
3124480195357,5410221306143,0
3124480195357,5410221306150,0
3124480195357,8414100363644,0
3124480195357,8414100363743,0
3124480195357,8414100364047,0
3124480195357,8414100364146,0
3124480199300,5410221306150,0
3124480199300,8414100363842,0
3124480199300,8414100363941,0
3124480199348,5410221306143,0
3124480199348,8414100364047,0
3124480199348,8414100364146,0
3124482002417,5410221205354,0
3142794192299,735143004300,0
3142814142686,664697915957,0
3162850010015,3162850141665,0
3162850010015,3162850641677,0
3162850010015,3162855110116,0
3162850010015,3162855550035,0
3162850010015,3162855622329,0
3162850010015,3162855910129,0
3162850010015,3162855999995,0
3162850010015,3434896050028,0
3162850012019,3162850141665,0
3162850012019,3162850641677,0
3162850012019,3162855110116,0
3162850012019,3162855550035,0
3162850012019,3162855622329,0
3162850012019,3162855910129,0
3162850012019,3162855999995,0
3162850012019,3434896050028,0
3162850141511,3162850620009,0
3162850141665,3162855110116,0
3162850141665,3162855550035,0
3162850141665,3162855622329,0
3162850141665,3162855910129,0
3162850141665,3162855999995,0
3162850141665,3434896050028,0
3162850141689,3162850620009,0
3162850141689,3162850621976,0
3162850620009,3162850641523,0
3162850641677,3162855110116,0
3162850641677,3162855550035,0
3162850641677,3162855622329,0
3162850641677,3162855910129,0
3162850641677,3162855999995,0
3162850641677,3434896050028,0
3162855110116,3162855550035,0
3162855110116,3162855622329,0
3162855110116,3162855999995,0
3162855110116,3434896050028,0
3162855550035,3162855622329,0
3162855550035,3162855910129,0
3162855550035,3162855999995,0
3162855550035,3434896050028,0
3162855622329,3162855910129,0
3162855622329,3162855999995,0
3162855910129,3162855999995,0
3162855910129,3434896050028,0
3162855999995,3434896050028,0
3168930158936,8410409010142,0
3179732370761,7613035024021,0
3179732370761,7613035974692,0
3179732370761,8445291061149,0
3244851000971,9005465106022,0
3248652918459,3350031895197,0
3250390001522,3250390001607,0
3250392927547,3250392927875,0
3256224068945,3256225741564,0
3257971080112,3257971080648,0
3257971080112,3257971082512,0
3257971080112,3257971091316,0
3257971080112,3257971109011,0
3257971080112,3257971309114,0
3257971080617,3257971080648,0
3257971080617,3257971082512,0
3257971080617,3257971091316,0
3257971080617,3257971109011,0
3257971080617,3257971309114,0
3257971080648,3257971082512,0
3257971080648,3257971091316,0
3257971080648,3257971109011,0
3257971080648,3257971309114,0
3257971082512,3257971091316,0
3257971082512,3257971309114,0
3257971091316,3257971109011,0
3257971109011,3257971309114,0
3257981410749,3257985023174,0
3257981410749,3257986878643,0
3257985023174,3257985652565,0
3257985652565,3257986878643,0
3265261090345,3265261310887,0
3265261090345,3265261310900,0
3265261231601,3265261310887,0
3265261231601,3265261310900,0
3265261347548,3265266075118,0
3268650001069,3268650004053,0
3268650001069,3268650604055,0
3268650001069,3268650606059,0
3268651007282,3268651480009,0
3268651480009,3268651490015,0
3272030002232,3272036006937,0
3272030002232,3272036008481,0
3272030007237,3272036006937,0
3272030007237,3272036007026,0
3272030008234,3272036006937,0
3272030008234,3272036007026,0
3272030014235,3272036006937,0
3272030014235,3272036007026,0
3272030018233,3272036007026,0
3272030018233,3272036008511,0
3272036003042,3272036006937,0
3272036003042,3272036007026,0
3272036005268,3272036007026,0
3272036006159,3272036007026,0
3272036006937,3272036007460,0
3272036006937,3272036007835,0
3272036006937,3272036008481,0
3272036006937,3272036008825,0
3272036007026,3272036007460,0
3272036007026,3272036008283,0
3272036007026,3272036008825,0
3272036007835,3272036008481,0
3272036008283,3272036008511,0
3274490970182,3274490970588,0
3274490970205,3274490970588,0
3274490970229,3274490970953,0
3274490970243,3274490970588,0
3274490970267,3274490970588,0
3274490970274,3274490970588,0
3274490970281,3274490970588,0
3274490970434,3274490970588,0
3274490972933,3274490972940,0
3274936042053,3274936101200,0
3274936042053,3274936601700,0
3274936042107,3274936101200,0
3274936042107,3274936102108,0
3274936042107,3274936601700,0
3289196040534,3760020504113,0
3289196100245,3760020504113,0
3289196100498,3456300002492,0
3289196100498,3456300007862,0
3289196100641,3760020504113,0
3289196100658,3760020504113,0
3289196100665,3760020504113,0
3292481210031,3292482520016,0
3292482260028,3292482350057,0
3292482260028,851231000754,0
3301591000040,3301591000774,0
3301591000040,3301591003997,0
3301591000149,3301591000774,0
3301591000149,3301591003997,0
3301591000163,3301591000774,0
3301591000163,3301591001931,0
3301591000163,3301591003997,0
3301591000231,3301591002099,0
3301591000231,3301591002129,0
3301591000231,3301591002150,0
3301591000231,3301591004086,0
3301591000514,3301591000804,0
3301591000590,3301591000774,0
3301591000590,3301591003997,0
3301591000774,3301591001931,0
3301591000774,3301591002167,0
3301591000774,3301591003997,0
3301591001931,3301591003997,0
3301591002099,3301591002129,0
3301591002099,3301591002150,0
3301591002099,3301591004086,0
3301591002129,3301591002150,0
3301591002129,3301591004086,0
3301591002150,3301591004086,0
3301591002167,3301591003997,0
3335880007717,3335880007816,0
3350031523137,3350031523199,0
3350031523199,3350031895210,0
3350031523229,3350031895197,0
