token,class,n_occurrences,verdict,rule
b6,word_embedded,67,keep_nutrient,keep_nutrient
15.2,decimal,66,strip,strip
12x500ml,multiplier,65,strip,strip
12pk,num_unit,64,strip,strip
226ers,word_embedded,62,keep_brand,keep_brand
6pk,num_unit,62,strip,strip
17,pure_int,61,strip,strip
96,pure_int,61,strip,strip
1420,pure_int,60,strip,strip
118,pure_int,58,strip,strip
1200,pure_int,58,strip,strip
235,pure_int,58,strip,strip
65,pure_int,58,keep_brand,keep_brand
0.33,decimal,55,strip,strip
1100,pure_int,55,strip,strip
6x200,multiplier,55,strip,strip
bolt24,word_embedded,55,strip,strip
200mg,num_unit,51,strip,strip
4bro,word_embedded,51,keep_brand,keep_brand
6x50cl,multiplier,50,strip,strip
503,pure_int,49,strip,strip
454,pure_int,48,strip,strip
12x1l,multiplier,47,strip,strip
11.5,decimal,46,strip,strip
1kg,num_unit,46,strip,strip
2.2,decimal,46,strip,strip
4x330ml,multiplier,43,strip,strip
710,pure_int,43,strip,strip
0g,num_unit,41,strip,strip
1890,pure_int,41,strip,strip
420,pure_int,40,strip,strip
57,pure_int,40,strip,strip
6x330ml,multiplier,40,strip,strip
0.25,decimal,39,strip,strip
600g,num_unit,39,strip,strip
320,pure_int,38,strip,strip
36,pure_int,37,strip,strip
8pk,num_unit,36,strip,strip
950,pure_int,36,strip,strip
1.1,decimal,35,strip,strip
13.7,decimal,35,strip,strip
150g,num_unit,35,strip,strip
h2o,word_embedded,35,keep_brand,keep_brand
113,pure_int,34,strip,strip
283,pure_int,34,strip,strip
24x330ml,multiplier,33,strip,strip
2500,pure_int,33,strip,strip
751,pure_int,32,strip,strip
828,pure_int,32,strip,strip
9g,num_unit,32,strip,strip
170,pure_int,31,strip,strip
1kcal,num_unit,31,strip,strip
500g,num_unit,31,strip,strip
518,pure_int,31,strip,strip
52,pure_int,31,strip,strip
7.5,decimal,31,strip,strip
fruit2o,word_embedded,31,keep_brand,keep_brand
110,pure_int,30,strip,strip
12x250ml,multiplier,30,strip,strip
13,pure_int,30,strip,strip
70,pure_int,30,strip,strip
998,pure_int,30,strip,strip
protein2o,word_embedded,30,keep_brand,keep_brand
22,pure_int,29,strip,strip
281,pure_int,29,strip,strip
2.0,decimal,28,strip,strip
567,pure_int,28,strip,strip
1.7,decimal,27,strip,strip
1.8,decimal,27,strip,strip
1350,pure_int,27,strip,strip
2019,pure_int,27,strip,strip
376,pure_int,27,strip,strip
6x50,multiplier,27,strip,strip
0.75,decimal,26,strip,strip
120g,num_unit,26,strip,strip
12x33cl,multiplier,26,strip,strip
6x200ml,multiplier,26,strip,strip
8.0,decimal,26,strip,strip
12x355.,multiplier,25,strip,strip
1g,num_unit,25,strip,strip
23,pure_int,25,strip,strip
160,pure_int,24,strip,strip
177,pure_int,24,strip,strip
360,pure_int,24,strip,strip
580,pure_int,24,strip,strip
4x500ml,multiplier,23,strip,strip
b3,word_embedded,23,keep_nutrient,keep_nutrient
27,pure_int,22,strip,strip
300gr,num_unit,22,strip,strip
490,pure_int,22,strip,strip
6x20,multiplier,22,strip,strip
8.8,decimal,22,strip,strip
mp3,word_embedded,22,keep_brand,keep_brand
0.7,decimal,21,strip,strip
210,pure_int,21,strip,strip
2200,pure_int,21,keep_brand,keep_brand
238,pure_int,21,strip,strip
248,pure_int,21,strip,strip
331,pure_int,21,strip,strip
1642,pure_int,20,keep_brand,keep_brand
190,pure_int,20,strip,strip
251,pure_int,20,strip,strip
8.5,decimal,20,strip,strip
21,pure_int,19,strip,strip
38,pure_int,19,strip,strip
3x200ml,multiplier,19,strip,strip
479,pure_int,19,strip,strip
510,pure_int,19,strip,strip
co2,word_embedded,19,keep_nutrient,keep_nutrient
2043,pure_int,18,strip,strip
20g,num_unit,18,strip,strip
24x250ml,multiplier,18,strip,strip
33,pure_int,18,strip,strip
4x250ml,multiplier,18,strip,strip
92,pure_int,18,strip,strip
1600,pure_int,17,strip,strip
270,pure_int,17,strip,strip
45,pure_int,17,strip,strip
b5,word_embedded,17,keep_nutrient,keep_nutrient
high5,word_embedded,17,keep_brand,keep_brand
10g,num_unit,16,strip,strip
1724,pure_int,16,keep_brand,keep_brand
200g,num_unit,16,strip,strip
24pk,num_unit,16,strip,strip
24x500ml,multiplier,16,strip,strip
295,pure_int,16,strip,strip
42,pure_int,16,strip,strip
440,pure_int,16,strip,strip
6x500ml,multiplier,16,strip,strip
redcon1,word_embedded,16,keep_brand,keep_brand
12ct,num_unit,15,strip,strip
16.9fz,num_unit,15,strip,strip
25.4,decimal,15,strip,strip
333,pure_int,15,strip,strip
46,pure_int,15,strip,strip
6x250ml,multiplier,15,strip,strip
careh2o,word_embedded,15,strip,strip
ph9,word_embedded,15,keep_nutrient,keep_nutrient
100g,num_unit,14,strip,strip
17.5,decimal,14,strip,strip
290,pure_int,14,strip,strip
365,pure_int,14,strip,strip
480,pure_int,14,strip,strip
66,pure_int,14,strip,strip
75g,num_unit,14,strip,strip
85,pure_int,14,strip,strip
no.1,product_number,14,strip,strip
x180ml,multiplier,14,strip,strip
10.5,decimal,13,strip,strip
12x1.,multiplier,13,strip,strip
12x355ml,multiplier,13,strip,strip
15x200,multiplier,13,strip,strip
225,pure_int,13,strip,strip
300mg,num_unit,13,strip,strip
31,pure_int,13,strip,strip
330cc,num_unit,13,strip,strip
6x150ml,multiplier,13,strip,strip
0.33lx6,multiplier,12,strip,strip
0.40,decimal,12,strip,strip
06,pure_int,12,strip,strip
1.25,decimal,12,strip,strip
1000mg,num_unit,12,strip,strip
100mg,num_unit,12,strip,strip
312,pure_int,12,strip,strip
380,pure_int,12,strip,strip
502,pure_int,12,strip,strip
6.75,decimal,12,strip,strip
6x1,multiplier,12,strip,strip
6x33cl,multiplier,12,strip,strip
7.7,decimal,12,strip,strip
750cc,num_unit,12,strip,strip
nu3,word_embedded,12,keep_brand,keep_brand
1000g,num_unit,11,strip,strip
1362,pure_int,11,strip,strip
2021,pure_int,11,strip,strip
220,pure_int,11,strip,strip
234,pure_int,11,strip,strip
26,pure_int,11,strip,strip
369,pure_int,11,strip,strip
4x0.,multiplier,11,strip,strip
4x250,multiplier,11,strip,strip
65g,num_unit,11,strip,strip
6x330,multiplier,11,strip,strip
6x750ml,multiplier,11,strip,strip
908,pure_int,11,strip,strip
h2,word_embedded,11,keep_nutrient,keep_nutrient
stacker2,word_embedded,11,strip,strip
0.30,decimal,10,strip,strip
03,pure_int,10,strip,strip
1.50,decimal,10,strip,strip
11.8,decimal,10,strip,strip
12x500,multiplier,10,strip,strip
130,pure_int,10,strip,strip
1400,pure_int,10,strip,strip
1850,pure_int,10,strip,strip
19,pure_int,10,strip,strip
1lb,num_unit,10,strip,strip
39,pure_int,10,strip,strip
425,pure_int,10,strip,strip
44,pure_int,10,strip,strip
4x90g,multiplier,10,strip,strip
5.5,decimal,10,strip,strip
51,pure_int,10,strip,strip
5g,num_unit,10,strip,strip
7.5dl,num_unit,10,strip,strip
8.8ph,word_embedded,10,keep_nutrient,keep_nutrient
8482,pure_int,10,strip,strip
1150,pure_int,9,strip,strip
119,pure_int,9,strip,strip
120mg,num_unit,9,strip,strip
12g,num_unit,9,strip,strip
12x330,multiplier,9,strip,strip
12x330ml,multiplier,9,strip,strip
160mg,num_unit,9,strip,strip
16fl.oz.,word_embedded,9,strip,strip
175,pure_int,9,strip,strip
2022,pure_int,9,strip,strip
245,pure_int,9,strip,strip
24x0.,multiplier,9,strip,strip
24x200,multiplier,9,strip,strip
24x25,multiplier,9,strip,strip
34,pure_int,9,strip,strip
4x1.,multiplier,9,strip,strip
4x100ml,multiplier,9,strip,strip
547,pure_int,9,strip,strip
6ct,num_unit,9,strip,strip
6x250,multiplier,9,strip,strip
78,pure_int,9,strip,strip
8ct,num_unit,9,strip,strip
got7,word_embedded,9,keep_brand,keep_brand
x12,multiplier,9,strip,strip
1.,other,8,keep_brand,keep_brand
10ct,num_unit,8,strip,strip
11.2,decimal,8,strip,strip
12.7,decimal,8,strip,strip
12fz,num_unit,8,strip,strip
14.5,decimal,8,strip,strip
35mg,num_unit,8,strip,strip
4.7,decimal,8,strip,strip
420g,num_unit,8,strip,strip
450g,num_unit,8,strip,strip
453,pure_int,8,strip,strip
4ct,num_unit,8,strip,strip
4x180ml,multiplier,8,strip,strip
50s,word_embedded,8,strip,strip
6x20cl,multiplier,8,strip,strip
6x33,multiplier,8,strip,strip
7.4,decimal,8,strip,strip
8.3,decimal,8,strip,strip
8x60ml,multiplier,8,strip,strip
9.5ph,word_embedded,8,keep_nutrient,keep_nutrient
b4y,word_embedded,8,strip,strip
h20,word_embedded,8,strip,strip
x6,multiplier,8,strip,strip
0.0,decimal,7,strip,strip
006,pure_int,7,strip,strip
02,pure_int,7,strip,strip
1.596,decimal,7,strip,strip
1.6,decimal,7,strip,strip
1.75,decimal,7,strip,strip
11.15,decimal,7,strip,strip
12000,pure_int,7,strip,strip
12xolvi,word_embedded,7,strip,strip
15680,pure_int,7,strip,strip
195,pure_int,7,strip,strip
2016,pure_int,7,strip,strip
2023,pure_int,7,strip,strip
2024,pure_int,7,strip,strip
250gr,num_unit,7,strip,strip
260,pure_int,7,strip,strip
276,pure_int,7,strip,strip
2x200ml,multiplier,7,strip,strip
3.00,decimal,7,strip,strip
3.3,decimal,7,strip,strip
300g,num_unit,7,strip,strip
3780,pure_int,7,strip,strip
3h,word_embedded,7,strip,strip
3x1l,multiplier,7,strip,strip
3x200,multiplier,7,strip,strip
3x250ml,multiplier,7,strip,strip
4.6g,num_unit,7,strip,strip
4x200.,multiplier,7,strip,strip
4x200ml,multiplier,7,strip,strip
50.7,decimal,7,strip,strip
500gr,num_unit,7,strip,strip
55,pure_int,7,strip,strip
7.6,decimal,7,strip,strip
88,pure_int,7,strip,strip
907,pure_int,7,strip,strip
b2,word_embedded,7,keep_nutrient,keep_nutrient
fruit2go,word_embedded,7,strip,strip
pk50,word_embedded,7,strip,strip
0.08,decimal,6,strip,strip
08,pure_int,6,strip,strip
1.35,decimal,6,strip,strip
10x200ml,multiplier,6,strip,strip
12863,pure_int,6,strip,strip
12x700ml,multiplier,6,strip,strip
1304,pure_int,6,strip,strip
180mg,num_unit,6,strip,strip
18x33cl,multiplier,6,strip,strip
198,pure_int,6,strip,strip
20.3,decimal,6,strip,strip
226,pure_int,6,strip,strip
24x33,multiplier,6,strip,strip
280,pure_int,6,strip,strip
2kg,num_unit,6,strip,strip
40123,pure_int,6,strip,strip
450gr,num_unit,6,strip,strip
4x1l,multiplier,6,strip,strip
560,pure_int,6,strip,strip
6.7,decimal,6,strip,strip
6x2,multiplier,6,strip,strip
6x75cl,multiplier,6,strip,strip
74,pure_int,6,strip,strip
800g,num_unit,6,strip,strip
b1,word_embedded,6,keep_nutrient,keep_nutrient
cm31,word_embedded,6,strip,strip
es6,word_embedded,6,strip,strip
l9044,word_embedded,6,strip,strip
of4,word_embedded,6,strip,strip
x4,multiplier,6,strip,strip
0.20,decimal,5,strip,strip
0.60,decimal,5,strip,strip
0.68,decimal,5,strip,strip
05,pure_int,5,strip,strip
10pk,num_unit,5,strip,strip
10x355ml,multiplier,5,strip,strip
11.16,decimal,5,strip,strip
112,pure_int,5,strip,strip
12.5,decimal,5,strip,strip
1225,pure_int,5,strip,strip
12x25cl,multiplier,5,strip,strip
15.9,decimal,5,strip,strip
163,pure_int,5,strip,strip
16x0.,multiplier,5,strip,strip
1900,pure_int,5,strip,strip
1938,pure_int,5,strip,strip
2.2lb,num_unit,5,strip,strip
2000mg,num_unit,5,strip,strip
2020,pure_int,5,strip,strip
24x33cl,multiplier,5,strip,strip
24x9gr,multiplier,5,strip,strip
254,pure_int,5,strip,strip
2x1l,multiplier,5,strip,strip
2x75cl,multiplier,5,strip,strip
2x900ml,multiplier,5,strip,strip
3.,other,5,keep_brand,keep_brand
33.81,decimal,5,strip,strip
423,pure_int,5,strip,strip
43,pure_int,5,strip,strip
482,pure_int,5,strip,strip
4th.,word_embedded,5,strip,strip
4x1,multiplier,5,strip,strip
4x100,multiplier,5,strip,strip
4x125ml,multiplier,5,strip,strip
4x25cl,multiplier,5,strip,strip
5.2,decimal,5,strip,strip
525,pure_int,5,strip,strip
54,pure_int,5,strip,strip
540,pure_int,5,strip,strip
6.00,decimal,5,strip,strip
6.3,decimal,5,strip,strip
6x1ltr,multiplier,5,strip,strip
6x500,multiplier,5,strip,strip
6x70,multiplier,5,strip,strip
6x75,multiplier,5,strip,strip
7.8ph,word_embedded,5,keep_nutrient,keep_nutrient
8.45,decimal,5,strip,strip
8.5ph,word_embedded,5,keep_nutrient,keep_nutrient
8.75,decimal,5,strip,strip
80mg,num_unit,5,strip,strip
90g,num_unit,5,strip,strip
9x1l,multiplier,5,strip,strip
a5044,word_embedded,5,strip,strip
good2grow,word_embedded,5,keep_name,keep_name
hp29,word_embedded,5,strip,strip
0.2,decimal,4,strip,strip
0.50,decimal,4,strip,strip
0.5kmp,word_embedded,4,strip,strip
0.5x12,multiplier,4,strip,strip
1.000,decimal,4,keep_brand,keep_brand
1.1kg,num_unit,4,strip,strip
1.5lx4,multiplier,4,strip,strip
1.62,decimal,4,strip,strip
10.14,decimal,4,strip,strip
10.3,decimal,4,strip,strip
10liters,word_embedded,4,strip,strip
10x20,multiplier,4,strip,strip
10x355.,multiplier,4,strip,strip
113g,num_unit,4,strip,strip
1183,pure_int,4,strip,strip
12x0.5,multiplier,4,strip,strip
12x1,multiplier,4,strip,strip
14.9,decimal,4,strip,strip
15.5,decimal,4,strip,strip
175mg,num_unit,4,strip,strip
1800,pure_int,4,strip,strip
1891,pure_int,4,strip,strip
2.8,decimal,4,keep_brand,keep_brand
207,pure_int,4,strip,strip
20pk,num_unit,4,strip,strip
23.5,decimal,4,strip,strip
230mg,num_unit,4,strip,strip
233,pure_int,4,strip,strip
240g,num_unit,4,strip,strip
27.5,decimal,4,strip,strip
2x1.,multiplier,4,strip,strip
30.4,decimal,4,strip,strip
33.8fl.oz,word_embedded,4,strip,strip
3x20,multiplier,4,strip,strip
3x20cl,multiplier,4,strip,strip
3x330ml,multiplier,4,strip,strip
4.2,decimal,4,strip,strip
4.4,decimal,4,strip,strip
400g,num_unit,4,strip,strip
454g,num_unit,4,strip,strip
4er,word_embedded,4,strip,strip
4x20cl,multiplier,4,strip,strip
4x33cl,multiplier,4,strip,strip
4x50cl,multiplier,4,strip,strip
540g,num_unit,4,strip,strip
56,pure_int,4,strip,strip
5x250,multiplier,4,strip,strip
6.,other,4,strip,strip
6000mg,num_unit,4,strip,strip
62,pure_int,4,strip,strip
640,pure_int,4,strip,strip
67.6,decimal,4,strip,strip
695,pure_int,4,strip,strip
6m,word_embedded,4,strip,strip
6x0.5,multiplier,4,strip,strip
6x2l,multiplier,4,strip,strip
7.0,decimal,4,strip,strip
7.3,decimal,4,strip,strip
700g,num_unit,4,strip,strip
70g,num_unit,4,strip,strip
720,pure_int,4,strip,strip
730,pure_int,4,strip,strip
75mg,num_unit,4,strip,strip
8.2,decimal,4,strip,strip
8.22,decimal,4,strip,strip
8.4,decimal,4,strip,strip
8.8ph.,word_embedded,4,keep_nutrient,keep_nutrient
89,pure_int,4,strip,strip
8x200.,multiplier,4,strip,strip
95,pure_int,4,strip,strip
og2,word_embedded,4,strip,strip
ph7,word_embedded,4,keep_nutrient,keep_nutrient
pk30,word_embedded,4,strip,strip
so2,word_embedded,4,strip,strip
tea44,word_embedded,4,strip,strip
x2,multiplier,4,keep_brand,keep_brand
x3,multiplier,4,strip,strip
zs23,word_embedded,4,strip,strip
.99,other,3,strip,strip
0.3,decimal,3,strip,strip
0.50e,word_embedded,3,strip,strip
000,pure_int,3,strip,strip
07,pure_int,3,strip,strip
09,pure_int,3,strip,strip
1.00,decimal,3,keep_brand,keep_brand
1.19,decimal,3,strip,strip
105srllc,word_embedded,3,keep_name,keep_name
108,pure_int,3,strip,strip
10x200.,multiplier,3,strip,strip
10x33cl,multiplier,3,strip,strip
11.3,decimal,3,strip,strip
1188,pure_int,3,strip,strip
1191,pure_int,3,strip,strip
126,pure_int,3,strip,strip
12shots,word_embedded,3,keep_name,keep_name
12x1000ml,multiplier,3,strip,strip
12x1ltr,multiplier,3,strip,strip
12x200ml,multiplier,3,strip,strip
12x25,multiplier,3,strip,strip
12x33,multiplier,3,strip,strip
12x50,multiplier,3,strip,strip
12x50.,multiplier,3,strip,strip
130mg,num_unit,3,strip,strip
142,pure_int,3,strip,strip
148,pure_int,3,strip,strip
15000,pure_int,3,strip,strip
153,pure_int,3,strip,strip
1589,pure_int,3,strip,strip
15g,num_unit,3,strip,strip
16.6,decimal,3,strip,strip
165,pure_int,3,strip,strip
1650,pure_int,3,strip,strip
171,pure_int,3,strip,strip
174,pure_int,3,strip,strip
18.5,decimal,3,strip,strip
1816,pure_int,3,strip,strip
192,pure_int,3,strip,strip
1920,pure_int,3,strip,strip
1959,pure_int,3,strip,strip
1c,word_embedded,3,strip,strip
1lb.,num_unit,3,strip,strip
2.2kg,num_unit,3,strip,strip
2.5kg,num_unit,3,strip,strip
20floz,word_embedded,3,strip,strip
20gr,num_unit,3,strip,strip
20x0.,multiplier,3,strip,strip
225mg,num_unit,3,strip,strip
227g,num_unit,3,strip,strip
2298,pure_int,3,strip,strip
22g,num_unit,3,strip,strip
23.7,decimal,3,strip,strip
24.,other,3,keep_brand,keep_brand
24x11.2gr,multiplier,3,strip,strip
24x20,multiplier,3,strip,strip
24x200ml,multiplier,3,strip,strip
24x250,multiplier,3,strip,strip
24x330,multiplier,3,strip,strip
25.3,decimal,3,strip,strip
2724,pure_int,3,strip,strip
27x250,multiplier,3,strip,strip
2839,pure_int,3,strip,strip
2x1,multiplier,3,strip,strip
3.5,decimal,3,strip,strip
3.6,decimal,3,strip,strip
309,pure_int,3,strip,strip
30g,num_unit,3,strip,strip
33.,other,3,strip,strip
349,pure_int,3,strip,strip
380g,num_unit,3,strip,strip
3pk,num_unit,3,strip,strip
3x1.,multiplier,3,strip,strip
3x25cl,multiplier,3,strip,strip
3x2dl,multiplier,3,strip,strip
3x70cl,multiplier,3,strip,strip
4.000,decimal,3,strip,strip
4.50,decimal,3,strip,strip
40.000,decimal,3,strip,strip
42161,pure_int,3,strip,strip
440g,num_unit,3,strip,strip
49,pure_int,3,strip,strip
4x140cl,multiplier,3,strip,strip
4x25,multiplier,3,strip,strip
4x355.,multiplier,3,strip,strip
4x500,multiplier,3,strip,strip
5.0,decimal,3,strip,strip
6.4,decimal,3,strip,strip
6.5,decimal,3,keep_brand,keep_brand
6g,num_unit,3,strip,strip
6x222.,multiplier,3,strip,strip
6x32oz,multiplier,3,strip,strip
6x33.,multiplier,3,strip,strip
6x355.,multiplier,3,strip,strip
6x355ml,multiplier,3,strip,strip
6x500.,multiplier,3,strip,strip
7.50,decimal,3,strip,strip
7.8,decimal,3,strip,strip
709,pure_int,3,strip,strip
71,pure_int,3,strip,strip
7803,pure_int,3,strip,strip
7up,word_embedded,3,strip,strip
7x60ml,multiplier,3,strip,strip
8.45fl.oz,word_embedded,3,strip,strip
85g,num_unit,3,strip,strip
9000,pure_int,3,strip,strip
9x33,multiplier,3,strip,strip
b452,word_embedded,3,keep_nutrient,keep_nutrient
b461,word_embedded,3,keep_nutrient,keep_nutrient
b9,word_embedded,3,keep_nutrient,keep_nutrient
ds6,word_embedded,3,strip,strip
good4you,word_embedded,3,keep_name,keep_name
grx24,word_embedded,3,strip,strip
number1,word_embedded,3,strip,strip
og1,word_embedded,3,strip,strip
oxy3,word_embedded,3,strip,strip
p10,word_embedded,3,strip,strip
pk32,word_embedded,3,strip,strip
pxb476,word_embedded,3,strip,strip
re32,word_embedded,3,strip,strip
sb3x,word_embedded,3,strip,strip
sub9,word_embedded,3,strip,strip
ti12,word_embedded,3,strip,strip
x1.,multiplier,3,strip,strip
x24,multiplier,3,strip,strip
x7,multiplier,3,strip,strip
.8g,word_embedded,2,strip,strip
0.00,decimal,2,strip,strip
0.05,decimal,2,strip,strip
0.25lx4,multiplier,2,strip,strip
0.37,decimal,2,strip,strip
0.48,decimal,2,strip,strip
0.5kg,num_unit,2,strip,strip
0.5x24,multiplier,2,strip,strip
0.96,decimal,2,strip,strip
01,pure_int,2,strip,strip
012528,pure_int,2,strip,strip
039,pure_int,2,strip,strip
1...,other,2,keep_brand,keep_brand
1.35f,word_embedded,2,strip,strip
1.500gr,num_unit,2,strip,strip
1000gr,num_unit,2,strip,strip
1000mlx6,word_embedded,2,strip,strip
100585,pure_int,2,strip,strip
101.4,decimal,2,strip,strip
101243,pure_int,2,strip,strip
10125025,pure_int,2,strip,strip
10125038,pure_int,2,strip,strip
10125041,pure_int,2,strip,strip
10125067,pure_int,2,strip,strip
105,pure_int,2,strip,strip
10ph,word_embedded,2,keep_nutrient,keep_nutrient
10x20cl,multiplier,2,strip,strip
10x25,multiplier,2,strip,strip
10x4.2g,multiplier,2,strip,strip
11.1,decimal,2,strip,strip
113.4,decimal,2,strip,strip
11x500ml,multiplier,2,strip,strip
12.5floz,word_embedded,2,strip,strip
12.68,decimal,2,strip,strip
125g,num_unit,2,strip,strip
125gr,num_unit,2,strip,strip
12x15,multiplier,2,strip,strip
12x16oz,multiplier,2,strip,strip
12x235ml,multiplier,2,strip,strip
12x341ml,multiplier,2,strip,strip
12x425ml,multiplier,2,strip,strip
12x532ml,multiplier,2,strip,strip
12xvarska,word_embedded,2,strip,strip
13.5,decimal,2,strip,strip
133,pure_int,2,strip,strip
142mg,num_unit,2,strip,strip
150gr,num_unit,2,strip,strip
15ct,num_unit,2,strip,strip
15x9g,multiplier,2,strip,strip
16.0,decimal,2,strip,strip
16.7,decimal,2,strip,strip
16.89,decimal,2,strip,strip
16fl.oz,word_embedded,2,strip,strip
16fz,num_unit,2,strip,strip
16x250ml,multiplier,2,strip,strip
1791276,pure_int,2,strip,strip
1800g,num_unit,2,strip,strip
184,pure_int,2,strip,strip
185,pure_int,2,strip,strip
1888,pure_int,2,strip,strip
195g,num_unit,2,strip,strip
195mlx20,word_embedded,2,strip,strip
1pt,word_embedded,2,strip,strip
1x250,multiplier,2,strip,strip
2.,other,2,keep_brand,keep_brand
2...,other,2,keep_brand,keep_brand
2.4,decimal,2,keep_brand,keep_brand
200gr,num_unit,2,strip,strip
201,pure_int,2,strip,strip
2025,pure_int,2,strip,strip
20ea,word_embedded,2,strip,strip
20x22g,multiplier,2,strip,strip
20x33cl,multiplier,2,strip,strip
20x500,multiplier,2,strip,strip
210g,num_unit,2,strip,strip
2199438,pure_int,2,strip,strip
21g,num_unit,2,strip,strip
2209,pure_int,2,strip,strip
220g,num_unit,2,strip,strip
222mg,num_unit,2,strip,strip
225g,num_unit,2,strip,strip
225gr,num_unit,2,strip,strip
226.8,decimal,2,strip,strip
2497,pure_int,2,strip,strip
24ct,num_unit,2,strip,strip
24s,word_embedded,2,strip,strip
24x1.5,multiplier,2,strip,strip
24x50cl,multiplier,2,strip,strip
24x9,multiplier,2,strip,strip
25.36,decimal,2,strip,strip
2500000005,pure_int,2,strip,strip
250g,num_unit,2,strip,strip
250mlx,word_embedded,2,strip,strip
250mlx4,word_embedded,2,strip,strip
25mg,num_unit,2,strip,strip
26.,other,2,strip,strip
268,pure_int,2,strip,strip
27.1,decimal,2,strip,strip
27076,pure_int,2,strip,strip
275g,num_unit,2,strip,strip
27x288ml,multiplier,2,strip,strip
290g,num_unit,2,strip,strip
2ct,num_unit,2,strip,strip
2g,num_unit,2,strip,strip
2o,word_embedded,2,strip,strip
2pk,num_unit,2,strip,strip
2pk.,num_unit,2,strip,strip
2x100g,multiplier,2,strip,strip
2x15cl,multiplier,2,strip,strip
2x1lt,multiplier,2,strip,strip
2x200,multiplier,2,strip,strip
2x250,multiplier,2,strip,strip
2x500,multiplier,2,strip,strip
2x700ml,multiplier,2,strip,strip
30634,pure_int,2,strip,strip
30x125ml,multiplier,2,strip,strip
315,pure_int,2,strip,strip
31kcal,num_unit,2,strip,strip
32.0,decimal,2,strip,strip
3200,pure_int,2,strip,strip
32pk,num_unit,2,strip,strip
33g,num_unit,2,strip,strip
343,pure_int,2,strip,strip
350g,num_unit,2,strip,strip
37,pure_int,2,strip,strip
375g,num_unit,2,strip,strip
38.304,decimal,2,strip,strip
384,pure_int,2,strip,strip
39.99,decimal,2,strip,strip
3in1,word_embedded,2,strip,strip
3kg,num_unit,2,strip,strip
3p,word_embedded,2,strip,strip
3s,word_embedded,2,strip,strip
3x17.,multiplier,2,strip,strip
3x220ml,multiplier,2,strip,strip
3x50,multiplier,2,strip,strip
3x75,multiplier,2,strip,strip
3x8x,multiplier,2,strip,strip
4.0,decimal,2,strip,strip
4.9,decimal,2,strip,strip
40.56,decimal,2,strip,strip
405,pure_int,2,strip,strip
40mg,num_unit,2,strip,strip
41,pure_int,2,strip,strip
4259,pure_int,2,strip,strip
425g,num_unit,2,strip,strip
439,pure_int,2,strip,strip
460,pure_int,2,strip,strip
48030,pure_int,2,strip,strip
48z,word_embedded,2,strip,strip
490g,num_unit,2,strip,strip
496,pure_int,2,strip,strip
4pks,word_embedded,2,strip,strip
4th,word_embedded,2,strip,strip
4x1.5,multiplier,2,strip,strip
4x100g,multiplier,2,strip,strip
4x180,multiplier,2,strip,strip
4x200,multiplier,2,strip,strip
4x230ml,multiplier,2,strip,strip
4x275.,multiplier,2,strip,strip
4x33,multiplier,2,strip,strip
4x6pk,multiplier,2,strip,strip
